time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.39535421732e-07,1.4032963781e-07,10.0019901945,0.000156578647841,0.000155819118272,0.0,-1.2646131587e-05,1.27134774648e-05,0.0663376614384,0.00737589887487,0.00734207046648,0.0,425.7984551052381,426.4259389566366,425.7444512828189,426.37490401542556
0.12000000000000001,-6.06084311427e-06,5.49493442054e-06,10.0078892331,0.000447798085954,0.00105149898429,0.0,-0.000252401733211,0.000201771013443,0.130291202975,-0.00073997918292,0.026908900135,0.0,424.9304393318611,426.6041148423513,425.2164117598452,424.5206325644874
0.18,-4.90711597211e-05,2.65936924213e-05,10.0187141348,0.000198385679119,0.00260460240559,0.0,-0.00134296245519,0.000487612575704,0.230522979437,-0.0120586474307,0.0237547589299,0.0,437.43286996951247,437.17032197249927,437.1729971090594,436.2291065396754
0.23999999999999996,-0.000189028040894,5.79759546218e-05,10.0356102654,6.28207969539,0.00371654267323,0.0,-0.00345493676031,0.000475330722912,0.332656083212,-0.0612065897318,0.00522794734272,0.0,438.911461539833,437.3713796939721,439.19612471629875,435.10098003940914
0.3,-0.000483426559663,4.56008074778e-05,10.0608771597,6.27796353248,0.00436817034927,0.0,-0.0064149700395,-0.00132114662921,0.50950972881,-0.0905690443099,0.0202460052268,0.0,459.59912567401256,460.78758093695575,462.533990418133,460.21238507530256
0.36000000000000004,-0.000963071004729,-0.000162348226441,10.0944369273,6.27234975149,0.00536245968734,0.0,-0.00968684689391,-0.00617251907993,0.609096315152,-0.100342030386,0.00796629520617,0.0,437.6254338934178,436.60218897805026,437.42647572299,436.60435644536375
0.4200000000000001,-0.00166449278637,-0.000794678662795,10.1352994886,6.26682014675,0.00619080702663,0.0,-0.0137664689156,-0.0155267380221,0.752896460169,-0.0794453908792,0.0234791282256,0.0,449.7085154125067,450.9630343627044,450.8435236145513,452.5212691711769
0.48000000000000015,-0.00264536690051,-0.00213908875899,10.1867501101,6.26163801488,0.00794157519119,0.0,-0.0191173002426,-0.029864982496,0.961959660917,-0.10614334485,0.0386584514375,0.0,469.84235329353004,471.0177660653798,472.36301995067765,470.29388449161036
0.5400000000000001,-0.00395868261543,-0.00438029033442,10.2465838732,6.25545819128,0.0108316554991,0.0,-0.0249183720179,-0.0454522276405,1.03242056341,-0.0973532412116,0.0624607149226,0.0,427.2964961512538,429.3220107271313,428.2104492366062,428.94776328230193
0.6000000000000002,-0.00570260650517,-0.0077288644461,10.3124511188,6.24998383499,0.0142114714985,0.0,-0.0335953685412,-0.0667636477209,1.16300695911,-0.0811949284709,0.0397937830315,0.0,448.92285559450886,447.08207746052983,446.73608113600886,448.0444629932375
0.6600000000000003,-0.00797640504426,-0.0123351081485,10.3821707563,6.24507223298,0.0166438868309,0.0,-0.0424075622317,-0.087202965187,1.1609640097,-0.0832236711403,0.0419925112135,0.0,405.41633180305644,405.6148460467735,404.1211454672217,403.9320846581195
0.7200000000000003,-0.0108918282951,-0.0184133154455,10.4558345009,6.24026488677,0.0190932973695,0.0,-0.0550368309954,-0.115921833704,1.29432504323,-0.0745504468829,0.0383772386465,0.0,449.30742070301415,449.0151086444067,448.34624891147854,449.0451602845681
0.7800000000000004,-0.0145778548522,-0.0262286997705,10.535478216,6.23572898602,0.0213175009279,0.0,-0.0680491292065,-0.145024578405,1.3603627892,-0.0777797907933,0.0343191139385,0.0,428.41690172941594,428.0724448023249,427.77606677390963,427.4962631618669
0.8400000000000004,-0.0191556428723,-0.036030892714,10.6222013345,6.23121743406,0.0236172777403,0.0,-0.0847855126977,-0.182220224208,1.53016149194,-0.0704665285982,0.0453371738262,0.0,460.07931715290476,460.95140940585367,460.5454688492085,461.11924875662595
0.9000000000000005,-0.0248413388829,-0.0482718063479,10.7211122377,6.22658670142,0.0265855857384,0.0,-0.105078916247,-0.226327269592,1.76649106007,-0.0960456716015,0.0566684938345,0.0,480.40190092520197,481.2615662201225,481.8974590346033,479.9556702584949
0.9600000000000005,-0.0317286004481,-0.0630850821058,10.8308006001,6.22077895904,0.0300365208679,0.0,-0.124852910654,-0.268047280826,1.88953957488,-0.0983384036782,0.05915744845,0.0,447.7833557926244,447.98802258498483,447.5933104943378,447.3987509721304
1.0200000000000005,-0.0399399684708,-0.0806559467041,10.9499167714,6.21549544781,0.0336301641152,0.0,-0.149262528215,-0.318266960955,2.08060752444,-0.0729023310634,0.0613273937849,0.0,469.1957881332665,469.36653708111453,467.5819482716582,469.5528929454276
1.0800000000000005,-0.0498591857734,-0.101673705454,11.0850945762,6.21059005938,0.0370405927431,0.0,-0.181848439315,-0.382901906318,2.42457986794,-0.112540189336,0.0458829950039,0.0,513.9163145165467,512.822204513331,514.4082193644441,511.5886649730187
1.1400000000000006,-0.0616532625442,-0.12638303521,11.2363467337,6.20410243707,0.0394149463735,0.0,-0.21157412447,-0.441475347994,2.61665296775,-0.100513139443,0.0223343367213,0.0,472.18053685230706,470.36105629026946,471.43286309705223,472.3516028209331
1.2000000000000006,-0.0752209740258,-0.154635645546,11.3976098027,6.19819659972,0.0407671683063,0.0,-0.240815922946,-0.500897817463,2.75837364839,-0.0945636674584,0.0229393303572,0.0,457.65626026182383,457.7044247149716,457.0101190156251,457.4760399502439
